eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,328,4.7037965e-06,0.0,8.317458,-1.7989667e-05,7.378781e-09,nan,92,11776,283.2894370146096,94208
nan,nan,323,4.088487e-06,0.0,8.317456,0.00034684566,1.9169859e-08,nan,93,11904,286.4591840002686,95232
nan,nan,311,4.095017e-06,0.0,8.317364,-6.932303e-06,2.6876886e-08,nan,94,12032,289.7427612375468,96256
nan,nan,325,4.1888557e-06,0.0,8.317341,-0.00018269906,1.6579797e-08,nan,95,12160,292.8868061155081,97280
nan,nan,346,2.4285173e-06,0.0,8.317444,0.0,6.1116143e-09,nan,96,12288,295.84473061654717,98304
nan,nan,330,1.299856e-07,0.0,8.317475,0.0,1.7645349e-09,nan,97,12416,298.9411495234817,99328
nan,nan,349,8.378217e-07,0.0,8.317478,-5.322041e-06,1.8141081e-09,nan,98,12544,301.86977016273886,100352
nan,nan,368,1.844279e-06,0.0,8.317448,-4.205409e-06,4.3068225e-09,nan,99,12672,304.64628141280264,101376
nan,nan,327,8.433654e-06,0.0,8.317373,2.1396289e-05,1.7698998e-08,nan,100,12800,307.7763731237501,102400
nan,nan,337,8.662522e-06,0.0,8.317174,-1.0281685e-05,6.3633494e-09,nan,101,12928,310.8094696449116,103424
nan,nan,373,1.9398112e-05,0.0,8.317143,-3.6661997e-05,4.2483293e-08,nan,102,13056,313.54843692295253,104448
nan,nan,320,1.50477545e-05,0.0,8.3169,0.00032377872,2.8674572e-08,nan,103,13184,316.7457047663629,105472
nan,nan,364,4.36439e-05,0.0,8.316721,-0.00014839481,1.8570239e-08,nan,104,13312,319.55479228310287,106496
nan,nan,308,8.0753576e-05,0.0,8.315908,0.0,5.6891086e-08,nan,105,13440,322.87618733756244,107520
nan,nan,336,1.5483187e-06,0.0,8.315623,0.0,1.2802614e-08,nan,106,13568,325.9221556317061,108544
nan,nan,323,3.5690857e-05,0.0,8.315416,-5.7006953e-05,7.423353e-08,nan,107,13696,329.0896435379982,109568
nan,nan,353,7.357068e-05,0.0,8.314254,-6.130377e-05,1.0610188e-07,nan,108,13824,331.98422956839204,110592
nan,nan,341,2.7181322e-05,0.0,8.314217,0.0005200623,3.6917953e-08,nan,109,13952,334.98267290741205,111616
nan,nan,330,4.0488067e-05,0.0,8.31517,-2.5027497e-05,7.58929e-09,nan,110,14080,338.0797462128103,112640
nan,nan,352,1.1377755e-05,0.0,8.315876,0.0,4.965228e-09,nan,111,14208,340.9826177963987,113664
nan,nan,355,4.1889402e-06,0.0,8.31609,-1.4601434e-05,6.533498e-09,nan,112,14336,343.86340311635286,114688
nan,nan,352,6.568745e-06,0.0,8.316071,0.00015213975,3.10012e-08,nan,113,14464,346.7706720624119,115712
nan,nan,327,8.950457e-06,0.0,8.316415,0.0,6.6342234e-09,nan,114,14592,349.8949961485341,116736
nan,nan,318,2.1832254e-06,0.0,8.316628,0.0,1.4254723e-09,nan,115,14720,353.11524031776935,117760
nan,nan,326,5.012427e-06,0.0,8.316802,-6.205233e-06,6.151179e-09,nan,116,14848,356.2565761329606,118784
nan,nan,346,4.8099923e-06,0.0,8.317001,0.0,1.3411975e-09,nan,117,14976,359.2163851317018,119808
nan,nan,332,8.7899457e-07,0.0,8.317099,0.0,3.508183e-10,nan,118,15104,362.2979420311749,120832
nan,nan,320,5.119537e-07,0.0,8.317159,0.0,1.7970475e-10,nan,119,15232,365.4935314916074,121856
nan,nan,336,3.7161308e-06,0.0,8.317187,-1.2256423e-05,2.5913883e-08,nan,120,15360,368.5363294109702,122880
nan,nan,354,6.090152e-06,0.0,8.317198,0.0,3.629331e-09,nan,121,15488,371.4226840864867,123904
nan,nan,312,4.6905257e-07,0.0,8.317206,0.0,5.622734e-10,nan,122,15616,374.7027634140104,124928
nan,nan,356,1.8066979e-07,0.0,8.317232,0.0,2.264998e-10,nan,123,15744,377.57839710544795,125952
nan,nan,345,8.19952e-05,0.0,8.317187,-7.184363e-05,1.5873239e-08,nan,124,15872,380.5406953236088,126976
nan,nan,364,0.00019361968,0.0,8.316058,-9.2324466e-05,1.6363012e-08,nan,125,16000,383.3525767503306,128000
nan,nan,322,0.000511385,0.015625,8.31301,0.0002926123,6.010917e-08,nan,126,16128,386.5276348218322,129024
nan,nan,326,0.0003849505,0.0021972656,8.311911,-0.00018886966,1.806578e-08,nan,127,16256,389.6602135160938,130048
nan,nan,337,0.00069182995,0.02758789,8.310019,-0.00022141088,2.1758581e-07,nan,128,16384,392.6970722731203,131072
nan,nan,322,0.0010342747,0.04638672,8.310027,-0.0005247693,1.7207967e-07,nan,129,16512,395.86986412107944,132096
nan,nan,325,0.0009734555,0.037353516,8.2991085,-0.0004721769,4.757515e-07,nan,130,16640,399.01935062371194,133120
nan,nan,339,0.0015439214,0.080322266,8.3083725,-0.0010548183,2.4036951e-06,nan,131,16768,402.038391164504,134144
nan,nan,359,0.00072977593,0.026611328,8.306118,-0.000628569,9.248631e-07,nan,132,16896,404.88459163252264,135168
nan,nan,358,0.00076893135,0.02368164,8.297561,-0.000752357,4.5379093e-07,nan,133,17024,407.7451187055558,136192
nan,nan,339,0.0005662993,0.0073242188,8.300013,0.0011988204,7.422034e-07,nan,134,17152,410.7646400872618,137216
nan,nan,308,0.00038204668,0.0026855469,8.300361,-0.00032278037,2.6502764e-07,nan,135,17280,414.0846017068252,138240
nan,nan,354,0.00034396877,0.0007324219,8.299785,-0.00037352275,6.855371e-07,nan,136,17408,416.9767133910209,139264
nan,nan,331,0.0003834453,0.00390625,8.304312,-0.00070198235,1.10327655e-07,nan,137,17536,420.0694222683087,140288
nan,nan,334,0.00029262784,0.0031738281,8.310052,-6.471725e-05,3.1964535e-07,nan,138,17664,423.1288803918287,141312
nan,nan,324,7.243067e-05,0.0,8.313784,0.0,6.7953614e-08,nan,139,17792,426.2818881170824,142336
nan,nan,331,3.611442e-05,0.0,8.314918,-0.0006633006,2.1550967e-08,nan,140,17920,429.37118142843246,143360
nan,nan,331,3.7178186e-05,0.0,8.31551,0.00015540191,5.9733876e-09,nan,141,18048,432.4589027026668,144384
nan,nan,327,1.8029888e-05,0.0,8.315826,-9.075218e-06,2.3340936e-09,nan,142,18176,435.5862034149468,145408
nan,nan,334,0.00038199258,0.006591797,8.316523,-0.00026366586,4.3971166e-08,nan,143,18304,438.64786008372903,146432
nan,nan,315,0.00018607754,0.0,8.315733,0.0,1.2070199e-08,nan,144,18432,441.89165087789297,147456
nan,nan,333,6.6361106e-05,0.0,8.315413,-7.348392e-05,3.199856e-08,nan,145,18560,444.96199874486774,148480
nan,nan,342,4.766425e-05,0.0,8.316218,-4.5827037e-06,2.7060372e-08,nan,146,18688,447.9495074180886,149504
nan,nan,345,3.0985288e-05,0.0,8.316374,0.00014830538,3.313078e-08,nan,147,18816,450.91668245289475,150528
nan,nan,318,8.3068935e-06,0.0,8.316299,-6.603841e-06,7.3536297e-09,nan,148,18944,454.13014170806855,151552
nan,nan,363,1.0474466e-05,0.0,8.316629,0.0,7.930609e-09,nan,149,19072,456.9467560639605,152576
nan,nan,314,1.5016344e-06,0.0,8.316799,0.0,1.0200679e-09,nan,150,19200,460.2034939052537,153600
nan,nan,343,7.537542e-07,0.0,8.316895,0.0,3.0950106e-10,nan,151,19328,463.18318695575,154624
nan,nan,360,1.0005066e-06,0.0,8.316918,-4.8198817e-06,1.4157495e-09,nan,152,19456,466.0276156105101,155648
